atm_id,day,time_slot,crowd_level
ATM_13,Tue,Afternoon,Low
ATM_26,Tue,Afternoon,Low
ATM_27,Fri,Night,Low
ATM_22,Wed,Afternoon,Low
ATM_23,Fri,Evening,High
ATM_49,Mon,Afternoon,Low
ATM_38,Sun,Afternoon,High
ATM_34,Fri,Night,Low
ATM_39,Sun,Morning,Medium
ATM_33,Sun,Evening,High
ATM_50,Tue,Morning,Medium
ATM_13,Fri,Night,Low
ATM_24,Wed,Afternoon,Low
ATM_23,Tue,Morning,Medium
ATM_34,Fri,Evening,High
ATM_2,Sun,Morning,Medium
ATM_40,Sat,Afternoon,High
ATM_10,Sat,Night,Medium
ATM_44,Thu,Afternoon,Low
ATM_44,Thu,Afternoon,Low
ATM_16,Tue,Morning,Medium
ATM_47,Wed,Afternoon,Low
ATM_49,Sun,Afternoon,High
ATM_30,Sat,Night,Medium
ATM_35,Thu,Morning,Medium
ATM_30,Mon,Night,Low
ATM_50,Wed,Evening,High
ATM_43,Tue,Morning,Medium
ATM_3,Tue,Morning,Medium
ATM_31,Fri,Morning,Medium
ATM_45,Thu,Night,Low
ATM_41,Tue,Morning,Medium
ATM_1,Sat,Evening,High
ATM_20,Mon,Night,Low
ATM_49,Sat,Evening,High
ATM_24,Sat,Morning,Medium
ATM_20,Wed,Afternoon,Low
ATM_2,Thu,Night,Low
ATM_13,Fri,Morning,Medium
ATM_11,Tue,Morning,Medium
ATM_34,Mon,Afternoon,Low
ATM_37,Sat,Afternoon,High
ATM_50,Thu,Evening,High
ATM_18,Tue,Afternoon,Low
ATM_14,Sun,Evening,High
ATM_32,Sat,Morning,Medium
ATM_1,Mon,Afternoon,Low
ATM_17,Thu,Morning,Medium
ATM_12,Wed,Night,Low
ATM_10,Wed,Night,Low
ATM_42,Tue,Night,Low
ATM_25,Thu,Night,Low
ATM_21,Fri,Night,Low
ATM_8,Sun,Afternoon,High
ATM_15,Thu,Evening,High
ATM_2,Wed,Evening,High
ATM_36,Thu,Morning,Medium
ATM_17,Tue,Evening,High
ATM_39,Thu,Morning,Medium
ATM_2,Wed,Afternoon,Low
ATM_44,Wed,Night,Low
ATM_47,Thu,Afternoon,Low
ATM_14,Mon,Morning,Medium
ATM_3,Mon,Morning,Medium
ATM_11,Fri,Morning,Medium
ATM_41,Mon,Morning,Medium
ATM_8,Thu,Morning,Medium
ATM_22,Mon,Night,Low
ATM_18,Tue,Evening,High
ATM_37,Sun,Evening,High
ATM_41,Sun,Night,Medium
ATM_14,Sat,Night,Medium
ATM_24,Thu,Night,Low
ATM_47,Tue,Afternoon,Low
ATM_38,Thu,Morning,Medium
ATM_37,Tue,Evening,High
ATM_24,Sun,Afternoon,High
ATM_16,Mon,Evening,High
ATM_27,Thu,Night,Low
ATM_45,Thu,Afternoon,Low
ATM_45,Thu,Morning,Medium
ATM_8,Tue,Afternoon,Low
ATM_6,Wed,Night,Low
ATM_10,Thu,Afternoon,Low
ATM_5,Tue,Evening,High
ATM_46,Tue,Evening,High
ATM_34,Sun,Night,Medium
ATM_47,Mon,Evening,High
ATM_21,Sun,Night,Medium
ATM_14,Fri,Afternoon,Low
ATM_24,Sun,Night,Medium
ATM_43,Sun,Afternoon,High
ATM_37,Mon,Morning,Medium
ATM_29,Sat,Afternoon,High
ATM_26,Thu,Evening,High
ATM_36,Mon,Night,Low
ATM_39,Sat,Evening,High
ATM_45,Sun,Night,Medium
ATM_49,Wed,Evening,High
ATM_24,Wed,Afternoon,Low
ATM_35,Fri,Afternoon,Low
ATM_3,Sat,Night,Medium
ATM_37,Thu,Morning,Medium
ATM_10,Sat,Afternoon,High
ATM_1,Fri,Night,Low
ATM_50,Fri,Evening,High
ATM_38,Thu,Afternoon,Low
ATM_11,Tue,Morning,Medium
ATM_31,Sun,Evening,High
ATM_9,Fri,Afternoon,Low
ATM_12,Sun,Night,Medium
ATM_27,Sun,Night,Medium
ATM_48,Sat,Morning,Medium
ATM_4,Wed,Evening,High
ATM_15,Fri,Night,Low
ATM_20,Tue,Evening,High
ATM_34,Mon,Afternoon,Low
ATM_42,Mon,Evening,High
ATM_21,Fri,Afternoon,Low
ATM_32,Fri,Afternoon,Low
ATM_30,Wed,Morning,Medium
ATM_48,Tue,Evening,High
ATM_28,Wed,Evening,High
ATM_27,Mon,Evening,High
ATM_10,Fri,Evening,High
ATM_48,Fri,Evening,High
ATM_49,Tue,Night,Low
ATM_34,Mon,Evening,High
ATM_45,Sat,Evening,High
ATM_21,Sat,Afternoon,High
ATM_45,Sun,Morning,Medium
ATM_18,Wed,Night,Low
ATM_48,Sat,Evening,High
ATM_38,Wed,Evening,High
ATM_47,Sun,Morning,Medium
ATM_40,Tue,Evening,High
ATM_12,Mon,Afternoon,Low
ATM_38,Tue,Night,Low
ATM_16,Sat,Night,Medium
ATM_27,Mon,Morning,Medium
ATM_3,Wed,Afternoon,Low
ATM_44,Tue,Night,Low
ATM_32,Sun,Afternoon,High
ATM_3,Thu,Night,Low
ATM_12,Mon,Evening,High
ATM_17,Fri,Evening,High
ATM_6,Sat,Morning,Medium
ATM_13,Sat,Evening,High
ATM_38,Sun,Morning,Medium
ATM_41,Fri,Afternoon,Low
ATM_46,Wed,Morning,Medium
ATM_32,Sun,Evening,High
ATM_3,Wed,Night,Low
ATM_33,Mon,Evening,High
ATM_21,Fri,Afternoon,Low
ATM_22,Sat,Afternoon,High
ATM_15,Thu,Morning,Medium
ATM_21,Thu,Evening,High
ATM_5,Sat,Morning,Medium
ATM_7,Tue,Evening,High
ATM_41,Mon,Evening,High
ATM_49,Sun,Evening,High
ATM_38,Thu,Morning,Medium
ATM_26,Thu,Night,Low
ATM_9,Thu,Evening,High
ATM_28,Tue,Morning,Medium
ATM_40,Mon,Morning,Medium
ATM_41,Sun,Morning,Medium
ATM_29,Fri,Evening,High
ATM_25,Sun,Evening,High
ATM_34,Tue,Night,Low
ATM_26,Wed,Morning,Medium
ATM_47,Tue,Morning,Medium
ATM_29,Fri,Afternoon,Low
ATM_42,Fri,Afternoon,Low
ATM_25,Mon,Afternoon,Low
ATM_4,Fri,Evening,High
ATM_38,Fri,Morning,Medium
ATM_19,Fri,Afternoon,Low
ATM_35,Sat,Afternoon,High
ATM_8,Wed,Night,Low
ATM_9,Thu,Morning,Medium
ATM_27,Sun,Evening,High
ATM_21,Thu,Afternoon,Low
ATM_16,Wed,Evening,High
ATM_36,Sat,Night,Medium
ATM_1,Sat,Afternoon,High
ATM_2,Mon,Night,Low
ATM_33,Fri,Afternoon,Low
ATM_38,Sun,Evening,High
ATM_33,Wed,Morning,Medium
ATM_42,Sun,Morning,Medium
ATM_11,Sun,Evening,High
ATM_44,Sun,Morning,Medium
ATM_27,Tue,Afternoon,Low
ATM_35,Fri,Morning,Medium
ATM_37,Fri,Afternoon,Low
ATM_17,Fri,Night,Low
ATM_37,Tue,Morning,Medium
ATM_2,Tue,Morning,Medium
ATM_5,Wed,Afternoon,Low
ATM_2,Sat,Morning,Medium
ATM_21,Thu,Evening,High
ATM_15,Wed,Night,Low
ATM_16,Tue,Afternoon,Low
ATM_9,Sun,Afternoon,High
ATM_49,Thu,Morning,Medium
ATM_34,Tue,Morning,Medium
ATM_18,Sat,Morning,Medium
ATM_39,Tue,Afternoon,Low
ATM_48,Fri,Afternoon,Low
ATM_38,Tue,Night,Low
ATM_41,Sun,Evening,High
ATM_18,Tue,Night,Low
ATM_43,Tue,Night,Low
ATM_31,Tue,Afternoon,Low
ATM_31,Wed,Evening,High
ATM_39,Tue,Night,Low
ATM_21,Fri,Evening,High
ATM_8,Fri,Morning,Medium
ATM_33,Sun,Afternoon,High
ATM_8,Fri,Morning,Medium
ATM_14,Mon,Night,Low
ATM_45,Wed,Morning,Medium
ATM_8,Sun,Night,Medium
