atm_id,bank,latitude,longitude,area,city
ATM_1,HDFC,12.999646,80.171118,Tambaram,Chennai
ATM_2,Indian Bank,13.068922,80.199416,Alandur,Chennai
ATM_3,HDFC,13.063809,80.159667,Ashok Nagar,Chennai
ATM_4,ICICI,12.913659,80.239697,Ashok Nagar,Chennai
ATM_5,SBI,13.056205,80.262639,Chromepet,Chennai
ATM_6,Canara,12.902836,80.235298,Tambaram,Chennai
ATM_7,SBI,12.973063,80.196411,Tambaram,Chennai
ATM_8,HDFC,12.930213,80.211109,Chromepet,Chennai
ATM_9,HDFC,13.089589,80.298045,Chromepet,Chennai
ATM_10,ICICI,12.951505,80.184031,Velachery,Chennai
ATM_11,SBI,12.968147,80.250782,Chromepet,Chennai
ATM_12,Canara,12.967232,80.262739,Velachery,Chennai
ATM_13,Indian Bank,12.963935,80.270402,Guindy,Chennai
ATM_14,Canara,13.050038,80.204633,Chromepet,Chennai
ATM_15,HDFC,12.963004,80.286609,Velachery,Chennai
ATM_16,Canara,12.919013,80.245608,Velachery,Chennai
ATM_17,Canara,13.04628,80.289305,Tambaram,Chennai
ATM_18,Indian Bank,12.984663,80.261137,Alandur,Chennai
ATM_19,PNB,12.950133,80.233257,Ashok Nagar,Chennai
ATM_20,PNB,12.908367,80.268742,Velachery,Chennai
ATM_21,ICICI,12.979708,80.182643,Tambaram,Chennai
ATM_22,HDFC,12.93413,80.241148,Ashok Nagar,Chennai
ATM_23,ICICI,13.012372,80.225381,Guindy,Chennai
ATM_24,Canara,12.938412,80.259359,Guindy,Chennai
ATM_25,HDFC,13.099357,80.274014,Alandur,Chennai
ATM_26,Canara,12.991534,80.285798,Tambaram,Chennai
ATM_27,HDFC,13.005032,80.170175,Ashok Nagar,Chennai
ATM_28,ICICI,12.913355,80.247803,Tambaram,Chennai
ATM_29,SBI,13.099862,80.171086,Chromepet,Chennai
ATM_30,Indian Bank,13.099222,80.235223,Velachery,Chennai
ATM_31,Indian Bank,13.02944,80.267775,Tambaram,Chennai
ATM_32,Indian Bank,13.059696,80.17866,Ashok Nagar,Chennai
ATM_33,SBI,12.94888,80.170129,Tambaram,Chennai
ATM_34,PNB,12.918947,80.246232,Alandur,Chennai
ATM_35,PNB,13.067791,80.288006,Alandur,Chennai
ATM_36,Canara,13.086329,80.222049,Velachery,Chennai
ATM_37,SBI,12.919559,80.23522,Chromepet,Chennai
ATM_38,Canara,12.956063,80.237747,Velachery,Chennai
ATM_39,SBI,12.998523,80.209519,Ashok Nagar,Chennai
ATM_40,HDFC,12.919298,80.208774,Tambaram,Chennai
ATM_41,HDFC,12.91325,80.193096,Velachery,Chennai
ATM_42,HDFC,13.041549,80.287965,Ashok Nagar,Chennai
ATM_43,Axis,13.050206,80.172376,Ashok Nagar,Chennai
ATM_44,Axis,12.955058,80.206072,Guindy,Chennai
ATM_45,Indian Bank,12.962633,80.240705,Velachery,Chennai
ATM_46,Canara,12.96146,80.272214,Tambaram,Chennai
ATM_47,Canara,12.914919,80.209078,Alandur,Chennai
ATM_48,ICICI,13.052335,80.173791,Velachery,Chennai
ATM_49,PNB,12.909391,80.275438,Alandur,Chennai
ATM_50,Axis,13.083896,80.169186,Guindy,Chennai
ATM_51,Indian Bank,12.917288,80.229987,Velachery,Chennai
ATM_52,ICICI,13.095287,80.16197,Velachery,Chennai
ATM_53,Axis,13.037391,80.211984,Velachery,Chennai
ATM_54,Indian Bank,13.018344,80.172114,Ashok Nagar,Chennai
ATM_55,Canara,12.921933,80.241874,Ashok Nagar,Chennai
ATM_56,SBI,13.06327,80.207737,Chromepet,Chennai
ATM_57,Axis,13.014371,80.280869,Tambaram,Chennai
ATM_58,ICICI,12.989575,80.202913,Chromepet,Chennai
ATM_59,Axis,12.927147,80.219403,Alandur,Chennai
ATM_60,SBI,12.926707,80.164219,Velachery,Chennai
ATM_61,ICICI,12.947996,80.260785,Chromepet,Chennai
